Algorithm Iterations WinRatio
MCTSwAMAFandSavebridge 7600 0.68
MCTSwAMAFandSavebridge 7800 0.66
MCTSwAMAFandSavebridge 8000 0.68
MCTSwAMAFandSavebridge 8200 0.7
MCTSwAMAFandSavebridge 8400 0.7
MCTSwAMAFandSavebridge 8600 0.68
MCTSwAMAFandSavebridge 8800 0.68
MCTSwAMAFandSavebridge 9000 0.66
MCTSwAMAFandSavebridge 9200 0.68
MCTSwAMAFandSavebridge 9400 0.68
MCTSwAMAFandSavebridge 9600 0.66
MCTSwAMAFandSavebridge 9800 0.66
MCTSwAMAFandSavebridge 10000 0.68
