Algorithm Iterations WinRatio
MCTSwAMAFandSavebridge 4000 1
MCTSwAMAFandSavebridge 4100 0,96
MCTSwAMAFandSavebridge 4200 0,92
MCTSwAMAFandSavebridge 4300 0,96
MCTSwAMAFandSavebridge 4400 1
MCTSwAMAFandSavebridge 4500 1
MCTSwAMAFandSavebridge 4600 0,88
MCTSwAMAFandSavebridge 4700 0,92
MCTSwAMAFandSavebridge 4800 0,96
MCTSwAMAFandSavebridge 4900 0,96
MCTSwAMAFandSavebridge 5000 0,96
