Algorithm Iterations WinRatio
MCTSwAMAFandSavebridge 4000 0.82
MCTSwAMAFandSavebridge 4250 0.8
MCTSwAMAFandSavebridge 4500 0.8
MCTSwAMAFandSavebridge 4750 0.8
MCTSwAMAFandSavebridge 5000 0.82
MCTSwAMAFandSavebridge 5250 0.82
MCTSwAMAFandSavebridge 5500 0.84
MCTSwAMAFandSavebridge 5750 0.84
MCTSwAMAFandSavebridge 6000 0.86
MCTSwAMAFandSavebridge 6250 0.84
MCTSwAMAFandSavebridge 6500 0.84
MCTSwAMAFandSavebridge 6750 0.84
MCTSwAMAFandSavebridge 7000 0.86
MCTSwAMAFandSavebridge 7250 0.86
MCTSwAMAFandSavebridge 7500 0.86
MCTSwAMAFandSavebridge 7750 0.88
MCTSwAMAFandSavebridge 8000 0.9
MCTSwAMAFandSavebridge 8250 0.9
MCTSwAMAFandSavebridge 8500 0.88
MCTSwAMAFandSavebridge 8750 0.9
MCTSwAMAFandSavebridge 9000 0.9
MCTSwAMAFandSavebridge 9250 0.92
MCTSwAMAFandSavebridge 9500 0.9
MCTSwAMAFandSavebridge 9750 0.92
MCTSwAMAFandSavebridge 10000 0.92
