Algorithm Iterations WinRatio
MCTS 250 0.24
MCTS 500 0.12
MCTS 750 0.16
MCTS 1000 0.28
MCTS 1250 0.16
MCTS 1500 0.08
MCTS 1750 0.2
MCTS 2000 0.16
MCTS 2250 0.28
MCTS 2500 0.28
MCTS 2750 0.28
MCTS 3000 0.32
MCTS 3250 0.4
MCTS 3500 0.44
MCTS 3750 0.32
MCTS 4000 0.4
MCTS 4250 0.4
MCTS 4500 0.28
MCTS 4750 0.32
MCTS 5000 0.4
MCTS 5250 0.48
MCTS 5500 0.32
MCTS 5750 0.36
MCTS 6000 0.36
MCTS 6250 0.36
MCTS 6500 0.52
MCTS 6750 0.32
MCTS 7000 0.44
MCTS 7250 0.48
MCTS 7500 0.4
MCTS 7750 0.56
MCTS 8000 0.52
MCTS 8250 0.48
MCTS 8500 0.52
MCTS 8750 0.48
MCTS 9000 0.6
MCTS 9250 0.48
MCTS 9500 0.44
MCTS 9750 0.52
MCTS 10000 0.52
MCTSwSavebridge 250 0.8
MCTSwSavebridge 500 0.48
MCTSwSavebridge 750 0.52
MCTSwSavebridge 1000 0.6
MCTSwSavebridge 1250 0.52
MCTSwSavebridge 1500 0.48
MCTSwSavebridge 1750 0.48
MCTSwSavebridge 2000 0.4
MCTSwSavebridge 2250 0.52
MCTSwSavebridge 2500 0.4
MCTSwSavebridge 2750 0.4
MCTSwSavebridge 3000 0.4
MCTSwSavebridge 3250 0.36
MCTSwSavebridge 3500 0.4
MCTSwSavebridge 3750 0.48
MCTSwSavebridge 4000 0.36
MCTSwSavebridge 4250 0.4
MCTSwSavebridge 4500 0.44
MCTSwSavebridge 4750 0.44
MCTSwSavebridge 5000 0.52
MCTSwSavebridge 5250 0.32
MCTSwSavebridge 5500 0.44
MCTSwSavebridge 5750 0.36
MCTSwSavebridge 6000 0.24
MCTSwSavebridge 6250 0.4
MCTSwSavebridge 6500 0.44
MCTSwSavebridge 6750 0.44
MCTSwSavebridge 7000 0.32
MCTSwSavebridge 7250 0.4
MCTSwSavebridge 7500 0.32
MCTSwSavebridge 7750 0.28
MCTSwSavebridge 8000 0.32
MCTSwSavebridge 8250 0.32
MCTSwSavebridge 8500 0.24
MCTSwSavebridge 8750 0.32
MCTSwSavebridge 9000 0.32
MCTSwSavebridge 9250 0.4
MCTSwSavebridge 9500 0.28
MCTSwSavebridge 9750 0.56
MCTSwSavebridge 10000 0.48
MSTSwAMAF 250 0.4
MSTSwAMAF 500 0.44
MSTSwAMAF 750 0.6
MSTSwAMAF 1000 0.8
MSTSwAMAF 1250 0.48
MSTSwAMAF 1500 0.68
MSTSwAMAF 1750 0.6
MSTSwAMAF 2000 0.68
MSTSwAMAF 2250 0.6
MSTSwAMAF 2500 0.72
MSTSwAMAF 2750 0.8
MSTSwAMAF 3000 0.84
MSTSwAMAF 3250 0.6
MSTSwAMAF 3500 0.8
MSTSwAMAF 3750 0.84
MSTSwAMAF 4000 0.88
MSTSwAMAF 4250 0.76
MSTSwAMAF 4500 0.84
MSTSwAMAF 4750 0.8
MSTSwAMAF 5000 0.72
MSTSwAMAF 5250 1
MSTSwAMAF 5500 0.96
MSTSwAMAF 5750 0.84
MSTSwAMAF 6000 0.76
MSTSwAMAF 6250 0.96
MSTSwAMAF 6500 0.92
MSTSwAMAF 6750 0.8
MSTSwAMAF 7000 0.88
MSTSwAMAF 7250 0.88
MSTSwAMAF 7500 0.96
MSTSwAMAF 7750 0.8
MSTSwAMAF 8000 0.8
MSTSwAMAF 8250 0.76
MSTSwAMAF 8500 0.84
MSTSwAMAF 8750 0.96
MSTSwAMAF 9000 0.96
MSTSwAMAF 9250 0.84
MSTSwAMAF 9500 0.84
MSTSwAMAF 9750 0.88
MSTSwAMAF 10000 0.88
MCTSwAMAFandSavebridge 250 0.28
MCTSwAMAFandSavebridge 500 0.4
MCTSwAMAFandSavebridge 750 0.56
MCTSwAMAFandSavebridge 1000 0.6
MCTSwAMAFandSavebridge 1250 0.64
MCTSwAMAFandSavebridge 1500 0.68
MCTSwAMAFandSavebridge 1750 0.7
MCTSwAMAFandSavebridge 2000 0.72
MCTSwAMAFandSavebridge 2250 0.72
MCTSwAMAFandSavebridge 2500 0.74
MCTSwAMAFandSavebridge 2750 0.76
MCTSwAMAFandSavebridge 3000 0.78
MCTSwAMAFandSavebridge 3250 0.8
MCTSwAMAFandSavebridge 3500 0.8
MCTSwAMAFandSavebridge 3750 0.8
