Algorithm Iterations WinRatio
MSTSwAMAF 6600 0.56
MSTSwAMAF 6700 0.54
MSTSwAMAF 6800 0.56
MSTSwAMAF 6900 0.56
MSTSwAMAF 7000 0.56
MCTSwAMAFandSavebridge 100 0.14
MCTSwAMAFandSavebridge 200 0.16
MCTSwAMAFandSavebridge 300 0.18
MCTSwAMAFandSavebridge 400 0.18
MCTSwAMAFandSavebridge 500 0.22
MCTSwAMAFandSavebridge 600 0.26
MCTSwAMAFandSavebridge 700 0.3
MCTSwAMAFandSavebridge 800 0.38
MCTSwAMAFandSavebridge 900 0.4
MCTSwAMAFandSavebridge 1000 0.42
MCTSwAMAFandSavebridge 1100 0.44
MCTSwAMAFandSavebridge 1200 0.46
MCTSwAMAFandSavebridge 1300 0.48
MCTSwAMAFandSavebridge 1400 0.5
MCTSwAMAFandSavebridge 1500 0.5
MCTSwAMAFandSavebridge 1600 0.48
MCTSwAMAFandSavebridge 1700 0.48
MCTSwAMAFandSavebridge 1800 0.5
MCTSwAMAFandSavebridge 1900 0.5
MCTSwAMAFandSavebridge 2000 0.5
MCTSwAMAFandSavebridge 2100 0.52
MCTSwAMAFandSavebridge 2200 0.52
MCTSwAMAFandSavebridge 2300 0.52
MCTSwAMAFandSavebridge 2400 0.5
MCTSwAMAFandSavebridge 2500 0.5
MCTSwAMAFandSavebridge 2600 0.54
MCTSwAMAFandSavebridge 2700 0.52
MCTSwAMAFandSavebridge 2800 0.52
MCTSwAMAFandSavebridge 2900 0.52
MCTSwAMAFandSavebridge 3000 0.52
MCTSwAMAFandSavebridge 3100 0.54
MCTSwAMAFandSavebridge 3200 0.52
MCTSwAMAFandSavebridge 3300 0.5
MCTSwAMAFandSavebridge 3400 0.54
MCTSwAMAFandSavebridge 3500 0.56
MCTSwAMAFandSavebridge 3600 0.56
MCTSwAMAFandSavebridge 3700 0.56
MCTSwAMAFandSavebridge 3800 0.56
MCTSwAMAFandSavebridge 3900 0.56
MCTSwAMAFandSavebridge 4000 0.58
MCTSwAMAFandSavebridge 4100 0.56
MCTSwAMAFandSavebridge 4200 0.54
MCTSwAMAFandSavebridge 4300 0.54
MCTSwAMAFandSavebridge 4400 0.56
MCTSwAMAFandSavebridge 4500 0.58
MCTSwAMAFandSavebridge 4600 0.5
MCTSwAMAFandSavebridge 4700 0.54
MCTSwAMAFandSavebridge 4800 0.52
MCTSwAMAFandSavebridge 4900 0.56
MCTSwAMAFandSavebridge 5000 0.52
MCTSwAMAFandSavebridge 5100 0.52
MCTSwAMAFandSavebridge 5200 0.56
MCTSwAMAFandSavebridge 5300 0.54
MCTSwAMAFandSavebridge 5400 0.5
MCTSwAMAFandSavebridge 5500 0.52
MCTSwAMAFandSavebridge 5600 0.52
MCTSwAMAFandSavebridge 5700 0.52
MCTSwAMAFandSavebridge 5800 0.52
MCTSwAMAFandSavebridge 5900 0.52
MCTSwAMAFandSavebridge 6000 0.5
MCTSwAMAFandSavebridge 6100 0.52
MCTSwAMAFandSavebridge 6200 0.5
MCTSwAMAFandSavebridge 6300 0.54
MCTSwAMAFandSavebridge 6400 0.5
MCTSwAMAFandSavebridge 6500 0.5
MCTSwAMAFandSavebridge 6600 0.52
MCTSwAMAFandSavebridge 6700 0.5
MCTSwAMAFandSavebridge 6800 0.5
MCTSwAMAFandSavebridge 6900 0.52
MCTSwAMAFandSavebridge 7000 0.54
