Algorithm Iterations WinRatio
MCTS 500 0
MCTS 1000 0.08
MCTS 1500 0.1
MCTS 2000 0.14
MCTS 2500 0.18
MCTS 3000 0.2
MCTS 3500 0.26
MCTS 4000 0.3
MCTS 4500 0.32
MCTS 5000 0.34
MCTS 5500 0.36
MCTS 6000 0.38
MCTS 6500 0.4
MCTS 7000 0.4
MCTS 7500 0.42
MCTS 8000 0.4
MCTS 8500 0.42
MCTS 9000 0.44
MCTS 9500 0.46
MCTS 10000 0.46
MCTSwSavebridge 500 0.24
MCTSwSavebridge 1000 0.24
MCTSwSavebridge 1500 0.24
MCTSwSavebridge 2000 0.24
MCTSwSavebridge 2500 0.24
MCTSwSavebridge 3000 0.24
MCTSwSavebridge 3500 0.24
MCTSwSavebridge 4000 0.24
MCTSwSavebridge 4500 0.24
MCTSwSavebridge 5000 0.24
MCTSwSavebridge 5500 0.24
MCTSwSavebridge 6000 0.24
MCTSwSavebridge 6500 0.24
MCTSwSavebridge 7000 0.24
MCTSwSavebridge 7500 0.24
MCTSwSavebridge 8000 0.24
MCTSwSavebridge 8500 0.24
MCTSwSavebridge 9000 0.24
MCTSwSavebridge 9500 0.24
MCTSwSavebridge 10000 0.24
MSTSwAMAF 500 0.2
MSTSwAMAF 1000 0.36
MSTSwAMAF 1500 0.4
MSTSwAMAF 2000 0.42
MSTSwAMAF 2500 0.4
MSTSwAMAF 3000 0.42
MSTSwAMAF 3500 0.44
MSTSwAMAF 4000 0.44
MSTSwAMAF 4500 0.46
MSTSwAMAF 5000 0.48
MSTSwAMAF 5500 0.48
MSTSwAMAF 6000 0.5
MSTSwAMAF 6500 0.48
MSTSwAMAF 7000 0.5
MSTSwAMAF 7500 0.5
MSTSwAMAF 8000 0.54
MSTSwAMAF 8500 0.54
MSTSwAMAF 9000 0.54
MSTSwAMAF 9500 0.56
MSTSwAMAF 10000 0.58
MCTSwAMAFandSavebridge 500 0.26
MCTSwAMAFandSavebridge 1000 0.34
MCTSwAMAFandSavebridge 1500 0.32
MCTSwAMAFandSavebridge 2000 0.32
MCTSwAMAFandSavebridge 2500 0.34
MCTSwAMAFandSavebridge 3000 0.38
MCTSwAMAFandSavebridge 3500 0.4
MCTSwAMAFandSavebridge 4000 0.42
MCTSwAMAFandSavebridge 4500 0.44
MCTSwAMAFandSavebridge 5000 0.44
MCTSwAMAFandSavebridge 5500 0.46
MCTSwAMAFandSavebridge 6000 0.48
MCTSwAMAFandSavebridge 6500 0.52
MCTSwAMAFandSavebridge 7000 0.54
MCTSwAMAFandSavebridge 7500 0.56
MCTSwAMAFandSavebridge 8000 0.58
MCTSwAMAFandSavebridge 8500 0.58
MCTSwAMAFandSavebridge 9000 0.6
MCTSwAMAFandSavebridge 9500 0.62
MCTSwAMAFandSavebridge 10000 0.64
